N?m sinh,Gi?i tính,Trình ?? h?c v?n,Tình tr?ng hôn nhân,Th?i gian s? d?ng Facebook m?i ngày,S? l??ng b?n bè trên Facebook,S? bài ??ng m?i ngày,Lo?i n?i dung yêu thích,S? thích cá nhân,M?c ?? th? hi?n c?m xúc trên Facebook,M?c ?? bình lu?n trên Facebook,T?n su?t mua s?m trên Facebook
2000,Female,High School,Single,5 hours,1000,1,Image,"Gaming, Anime",65,28,Daily
1991,Male,Doctoral,Married,1 hour,150,0,Text,"Science, History",0,5,Once per month
1998,Female,Bachelor's,In a Relationship,3.5 hours,600,4,Video,"Art, Literature",46,16,3 times per week
1998,Male,Master's,Divorced,2 hours,350,1,Text,"Business, Finance",10,4,Once per quarter
2002,Female,High School,Single,4.5 hours,1200,4,Video,"Social Media, Travel",51,26,Daily
1994,Male,Unknown,Married,4 hours,850,3,Video,"Music, Literature",101,42,Once every two months
1996,Female,Unknown,In a Relationship,6 hours,1400,1,Text,"Sports, Gaming",82,41,Daily
1999,Male,Unknown,Single,3.5 hours,900,3,Video,"Social Media, Dance",89,37,2 times per week
2001,Female,High School,Single,4 hours,900,1,Video,"Dance, K-Pop",45,26,Daily
1990,Male,Bachelor's,Married,1 hour,100,1,Text,"Cooking, Gardening",35,17,Once every three months
1991,Female,Bachelor's,Single,3.5 hours,500,0,Video,"Travel, Photography",33,13,2 times per week
1993,Male,Master's,Married,1 hour,250,3,Text,"Technology, Science",11,8,Once per month
2003,Female,High School,Single,5 hours,1000,0,Image,"Comedy, Memes",69,29,Daily
1996,Male,Doctoral,Divorced,2 hours,300,1,Text,"Music, Literature",2,1,Once per quarter
2004,Female,High School,Single,4 hours,800,1,Video,"Sports, Gaming",41,27,3 times per week
1991,Male,Bachelor's,Married,1.5 hours,250,3,Image,"Business, Finance",34,18,Once every two months
1993,Female,High School,Single,3 hours,400,0,Text,"Fashion, Beauty",69,31,2 times per week
1996,Male,Master's,In a Relationship,2.5 hours,350,1,Video,"Politics, Current Events",0,1,Once per week
1999,Female,High School,Single,4.5 hours,1200,3,Image,"DIY, Home Improvement",67,29,Daily
1999,Male,Bachelor's,Married,1 hour,150,3,Text,"Cooking, Gardening",36,17,Once every three months
1996,Female,Master's,Single,3 hours,450,1,Video,"Music, Movies",5,9,2 times per week
1994,Male,High School,In a Relationship,2 hours,300,1,Text,"Sports, Travel",64,23,Once per week
2005,Female,High School,Single,4.5 hours,900,2,Image,"Social Media, Dance",55,32,Daily
2001,Male,Bachelor's,Married,1 hour,100,4,Text,"Technology, Science",43,20,Once per month
2000,Female,High School,Single,5 hours,1000,2,Video,"Comedy, Memes",50,28,Daily
1995,Female,Bachelor's,Single,3.5 hours,550,3,Video,"Fashion, Beauty",50,20,2 times per week
1990,Male,Master's,Married,1 hour,200,0,Text,"Business, Finance",1,0,Once per month
2003,Female,High School,Single,5 hours,1050,3,Image,"DIY, Home Improvement",44,23,Daily
1993,Male,Doctoral,Divorced,2 hours,350,0,Text,"Music, Literature",2,3,Once per quarter
2005,Female,High School,Single,4 hours,850,5,Video,"Sports, Gaming",42,25,3 times per week
1998,Male,Bachelor's,Married,1.5 hours,250,4,Image,"Technology, Science",49,18,Once every two months
1992,Female,High School,Single,3 hours,450,1,Text,"Cooking, Gardening",43,23,2 times per week
1995,Male,Master's,In a Relationship,2.5 hours,300,1,Video,"Politics, Current Events",19,8,Once per week
1998,Female,High School,Single,4.5 hours,1250,4,Image,"Social Media, Dance",59,24,Daily
1996,Male,Bachelor's,Married,1 hour,150,4,Text,"Travel, Photography",50,14,Once every three months
1990,Female,Master's,Single,3 hours,400,0,Video,"Music, Movies",4,9,2 times per week
2003,Male,High School,In a Relationship,2 hours,350,4,Text,"Sports, Travel",64,27,Once per week
2002,Female,High School,Single,4.5 hours,950,5,Image,"DIY, Home Improvement",66,33,Daily
2001,Male,Bachelor's,Married,1 hour,100,0,Text,"Business, Finance",40,13,Once per month
1997,Female,High School,Single,5 hours,1100,2,Video,"Fashion, Beauty",52,30,Daily
1999,Male,Bachelor's,Single,2.5 hours,400,0,Video,"Music, Movies",44,19,2 times per week
1991,Female,Master's,Married,1.5 hours,250,1,Image,"Cooking, Gardening",6,1,Once every two months
1993,Male,High School,Single,3 hours,450,6,Text,"Technology, Science",68,29,2 times per week
1995,Female,High School,In a Relationship,4 hours,800,4,Video,"Sports, Gaming",52,26,Once per week
1995,Male,Bachelor's,Married,2 hours,300,0,Text,"DIY, Home Improvement",40,10,Once per month
2004,Female,Master's,Single,3.5 hours,550,3,Video,"Fashion, Beauty",9,2,2 times per week
1997,Male,High School,Divorced,1 hour,200,1,Text,"Business, Finance",56,30,Once every three months
2001,Female,High School,Single,5 hours,1050,5,Image,"Travel, Photography",47,30,Daily
1994,Male,Bachelor's,Married,2 hours,350,0,Video,"Music, Literature",44,19,Once per month
1996,Female,Master's,In a Relationship,3 hours,400,3,Text,"Sports, Travel",9,7,Once per week
2000,Male,High School,Single,4 hours,850,1,Video,"Social Media, Dance",66,21,3 times per week
1999,Female,High School,Married,1.5 hours,250,1,Image,"Technology, Science",42,25,Once every two months
1991,Male,Bachelor's,Single,3 hours,450,1,Text,"Cooking, Gardening",40,14,2 times per week
1993,Female,Master's,In a Relationship,2 hours,300,1,Video,"Politics, Current Events",12,5,Once per week
1995,Male,High School,Single,4.5 hours,1250,2,Image,"DIY, Home Improvement",66,35,Daily
2000,Female,Bachelor's,Married,1 hour,150,1,Text,"Travel, Photography",47,20,Once every three months
2005,Male,Unknown,Single,5 hours,1200,5,Video,"Music, Movies",102,33,Daily
1991,Female,Unknown,Married,4.5 hours,1000,3,Image,"Cooking, Gardening",100,46,Once per week
1990,Female,Bachelor's,Single,3.5 hours,500,3,Video,"Music, Movies",35,11,2 times per week
1990,Male,Master's,Married,1 hour,200,0,Text,"Business, Finance",11,4,Once per month
2003,Female,High School,Single,5 hours,1050,5,Image,"DIY, Home Improvement",41,33,Daily
1993,Male,Doctoral,Divorced,2 hours,350,0,Text,"Music, Literature",3,5,Once per quarter
2005,Female,High School,Single,4 hours,850,3,Video,"Sports, Gaming",43,24,3 times per week
1998,Male,Bachelor's,Married,1.5 hours,250,1,Image,"Technology, Science",36,12,Once every two months
1992,Female,High School,Single,3 hours,450,4,Text,"Cooking, Gardening",58,23,2 times per week
1995,Male,Master's,In a Relationship,2.5 hours,300,0,Video,"Politics, Current Events",20,0,Once per week
1998,Female,High School,Single,4.5 hours,1250,4,Image,"Social Media, Dance",49,25,Daily
1996,Male,Bachelor's,Married,1 hour,150,4,Text,"Travel, Photography",43,13,Once every three months
1990,Female,Master's,Single,3 hours,400,2,Video,"Music, Movies",3,1,2 times per week
1992,Male,High School,In a Relationship,2 hours,350,3,Text,"Sports, Travel",62,27,Once per week
2002,Female,High School,Single,4.5 hours,950,5,Image,"DIY, Home Improvement",69,30,Daily
1994,Male,Bachelor's,Married,1 hour,100,4,Text,"Business, Finance",35,16,Once per month
1997,Female,High School,Single,5 hours,1100,5,Video,"Fashion, Beauty",69,25,Daily
1999,Male,Bachelor's,Single,2.5 hours,400,4,Video,"Music, Movies",43,14,2 times per week
